10000 204786
5 1232 2.23802
5 1303 2.87792
5 1336 0.940521
5 1337 1.4225
5 1449 3.15641
5 1461 2.01999
5 1579 3.9132
5 1643 3.15677
5 1648 1.69251
5 1736 0.806045
5 1819 2.39196
5 1921 2.34682
5 1956 1.8867
6 20 1.89637
6 51 4.35361
6 106 0.762498
6 328 1.00373
6 358 1.89407
6 421 2.11295
6 484 4.55557
6 487 0.450527
6 618 4.33615
6 698 2.26176
6 705 1.46022
6 751 0.728441
6 850 0.738169
6 851 3.35264
6 1021 3.14863
6 1065 3.97637
6 1166 4.04482
6 1206 2.518
6 1232 2.26208
6 1282 2.94352
6 1289 4.98418
6 1291 2.51317
6 1293 2.65052
6 1332 4.90381
6 1376 1.91896
6 1379 0.357762
6 1409 4.81455
6 1469 0.388947
6 1498 3.2154
6 1528 4.79394
6 1713 1.78286
6 1746 1.05819
6 1756 1.51552
6 1812 1.66988
6 1879 4.56425
6 1888 1.30275
6 1913 1.78069
7 9 0.26504
7 28 3.5313
7 48 3.84246
7 53 3.43792
7 191 1.93252
7 243 2.1782
7 247 2.24285
7 265 4.62433
7 278 4.91533
7 288 1.79857
7 317 0.13661
7 374 4.92899
7 436 3.08739
7 524 1.73231
7 545 1.58954
7 614 1.01888
7 621 2.67044
7 637 0.725965
7 656 0.466826
7 743 2.20151
7 1102 4.5512
7 1104 2.12776
7 1133 1.43266
7 1190 0.688245
7 1233 2.34579
7 1269 2.09066
7 1290 0.37825
7 1326 0.338148
7 1465 1.72278
7 1503 4.91444
7 1529 4.10182
7 1530 0.565685
7 1539 4.39343
7 1585 2.58365
7 1792 4.45373
7 1879 3.16385
7 1906 0.453868
8 57 3.86018
8 65 2.31204
8 90 1.1039
8 188 4.00616
8 263 2.39281
8 322 4.02324
8 370 3.91661
8 384 3.39596
8 441 0.706523
8 492 4.96179
8 691 2.07122
8 693 0.561374
8 860 0.551358
8 914 2.28082
8 922 1.61494
8 964 3.61321
8 1039 0.959696
8 1135 2.7908
8 1154 2.85279
8 1157 0.985883
8 1295 2.39195
8 1344 3.84861
8 1381 3.73121
8 1422 2.58798
8 1424 0.275468
8 1453 2.19428
8 1466 2.65919
8 1501 1.07138
8 1515 4.18008
8 1595 0.911804
8 1637 1.86306
8 1651 3.85323
8 1692 2.74062
8 1760 0.622348
8 1762 4.235
8 1809 1.75134
8 1854 0.353282
8 1878 0.90975
8 1946 1.13619
8 1973 0.123583
9 13 0.131236
9 119 4.89808
9 120 4.83384
9 163 0.724339
9 250 4.07244
9 301 3.20209
9 310 0.214506
9 317 4.2898
9 346 1.46582
9 446 0.486195
9 453 2.92608
9 484 0.106662
9 552 3.87604
9 575 1.50023
9 591 2.28497
9 637 2.53047
9 650 2.32735
9 661 4.92061
9 705 4.90574
9 768 1.58063
9 769 1.90152
9 951 0.603015
9 965 3.21557
9 1153 3.31363
9 1169 4.65941
9 1184 3.35234
9 1200 0.990594
9 1230 2.44711
9 1255 3.75694
9 1332 2.85151
9 1341 1.80497
9 1459 1.21199
9 1514 4.4458
9 1575 4.71217
9 1581 4.43994
9 1796 4.72949
9 1905 1.72048
9 1931 1.94742
9 1997 4.38301
10 69 0.688448
10 77 2.93244
10 143 0.477728
10 205 2.43132
10 228 4.10525
10 289 0.523304
10 302 2.84043
10 307 2.07394
10 319 0.231936
10 359 2.53782
10 369 2.97934
10 490 2.64045
10 520 1.71777
10 553 0.920872
10 688 0.957972
10 702 0.75928
10 779 2.62541
10 845 1.60053
10 853 1.97223
10 873 4.87412
10 955 1.09905
10 984 2.04794
10 1118 1.03312
10 1129 4.19805
10 1165 2.80529
10 1180 3.79749
10 1223 1.54459
10 1237 2.95951
10 1250 3.03022
10 1275 1.77757
10 1279 4.8602
10 1281 3.34381
10 1301 0.9189
10 1328 0.124219
10 1394 2.33349
10 1413 4.2776
10 1425 3.02557
10 1614 4.82832
10 1673 1.12633
10 1681 3.75429
10 1706 0.746574
10 1711 0.498536
10 1792 1.31261
10 1849 1.43331
10 1864 4.91149
10 1912 3.54593
10 1923 3.13508
10 1931 1.80087
10 1976 1.98384
10 1984 1.73537
11 48 2.48363
11 77 4.02337
11 90 1.84891
11 114 2.90255
11 145 3.60595
11 154 0.248769
11 183 2.44004
11 279 3.89475
11 299 2.69977
11 426 3.16548
11 446 1.11744
11 480 0.276433
11 590 4.02956
11 661 0.653916
11 662 2.40872
11 677 4.32704
11 708 2.98469
11 751 1.92795
11 795 0.603259
11 816 0.294102
11 1014 3.07385
11 1018 3.4056
11 1038 4.79112
11 1056 1.57485
11 1111 1.06786
11 1113 4.99895
11 1138 2.14549
11 1153 4.2861
11 1182 1.63673
11 1207 0.469777
11 1228 2.49134
11 1232 2.7031
11 1294 1.87974
11 1380 2.1775
11 1403 4.46222
11 1424 4.39451
11 1541 2.72094
11 1567 2.95613
11 1701 3.20994
11 1717 3.81525
11 1745 2.99817
11 1815 4.86627
11 1824 0.170489
11 1826 1.19995
11 1937 3.20408
11 1972 3.77708
12 17 4.43629
12 27 0.525686
12 67 0.458661
12 75 1.13959
12 77 2.13674
12 82 0.112456
12 119 4.84344
12 133 1.11093
12 206 1.52314
12 249 3.11589
12 259 2.31454
12 327 4.33343
12 386 0.860179
12 458 0.439544
12 500 3.6171
12 528 4.03141
12 600 3.34522
12 719 4.41731
12 762 2.2904
12 769 4.5788
12 777 0.907123
12 858 3.07357
12 875 0.291116
12 933 3.87182
12 964 1.95951
12 982 2.81209
12 1001 4.7476
12 1066 0.446677
12 1157 1.66532
12 1164 0.458832
12 1182 0.978249
12 1196 1.23189
12 1375 0.492034
12 1419 4.05516
12 1466 1.37804
12 1490 0.460772
12 1523 3.6257
12 1551 0.799309
12 1618 3.85406
12 1638 1.64571
12 1677 3.7797
12 1693 4.93492
12 1768 0.37627
12 1788 1.37843
12 1811 0.961931
12 1831 4.87259
12 1935 2.12559
12 1978 0.21858
13 20 2.16512
13 130 1.16892
13 135 2.00602
13 184 4.03193
13 186 4.8317
13 247 2.86434
13 285 2.47652
13 325 2.69075
13 431 1.45052
13 442 1.04848
13 449 1.85635
13 483 4.5094
13 505 3.1117
13 580 3.93142
13 619 2.11028
13 625 3.68251
13 628 4.84377
13 693 1.57359
13 737 1.90585
13 880 2.89055
13 956 4.01811
13 964 0.628279
13 1154 0.990859
13 1239 1.24195
13 1275 4.77192
13 1385 0.352066
13 1489 3.31821
13 1549 2.92511
13 1672 3.30663
13 1677 2.00778
13 1723 0.555652
13 1807 2.44731
13 1873 2.74866
13 1912 3.07195
13 1976 4.72723
13 1995 4.38172
14 65 1.52283
14 69 3.02877
14 70 2.72256
14 75 0.968945
14 139 0.848744
14 260 3.07887
14 322 1.10451
14 337 0.48208
14 339 3.81845
14 420 0.183356
14 441 0.556776
14 466 4.83235
14 488 0.341477
14 506 0.868257
14 549 2.6463
14 555 1.48428
14 627 4.6182
14 682 1.96582
14 818 0.7254
14 824 3.29761
14 858 1.33982
14 865 3.09038
14 969 2.20973
14 1016 2.49241
14 1023 4.71381
14 1049 0.672328
14 1082 0.947629
14 1103 1.95979
14 1180 2.09898
14 1245 0.138583
14 1304 2.21478
14 1376 2.68884
14 1423 1.14362
14 1441 2.10486
14 1471 4.27531
14 1500 3.10416
14 1580 2.04654
14 1607 2.47499
14 1696 3.26197
14 1700 4.18165
14 1757 4.36621
14 1775 4.34947
14 1791 3.05695
14 1923 2.10023
14 1983 4.21295
14 1988 4.45084
14 1992 2.75959
15 48 3.74952
15 154 3.66446
15 186 2.46949
15 218 0.485739
15 238 0.80855
15 290 2.19344
15 315 2.90299
15 333 1.89568
15 407 3.13333
15 443 1.62314
15 453 3.05643
15 640 1.31655
15 662 2.44874
15 796 3.90152
15 801 2.12175
15 905 4.00465
15 984 4.08581
15 985 0.98322
15 1198 4.87323
15 1212 4.30971
15 1268 4.63923
15 1362 3.00501
15 1375 0.263459
15 1414 1.25259
15 1421 3.49349
15 1422 4.58779
15 1435 4.30071
15 1438 1.69833
15 1460 3.48002
15 1554 4.86437
15 1643 1.62879
15 1715 3.84311
15 1765 1.38574
15 1870 0.506889
15 1989 2.11917
16 56 2.59843
16 64 1.56381
16 88 2.21502
16 101 3.46066
16 133 0.647525
16 208 0.126938
16 217 2.73991
16 222 1.74785
16 269 2.55917
16 324 1.40627
16 330 1.24786
16 492 3.6765
16 576 0.346527
16 624 2.34129
16 769 1.81163
16 778 3.84159
16 840 2.61837
16 842 2.87996
16 844 3.02043
16 967 2.59636
16 1056 4.52216
16 1058 4.76932
16 1086 1.08122
16 1106 2.2293
16 1166 3.17801
16 1182 2.40121
16 1212 1.5971
16 1273 1.18378
16 1278 1.59849
16 1382 4.11807
16 1434 4.13257
16 1500 3.44383
16 1562 1.98975
16 1586 1.63383
16 1690 2.66179
16 1711 2.61975
16 1726 1.44687
16 1728 0.970846
16 1862 2.47792
16 1874 1.37295
16 1895 4.24232
16 1972 0.534341
17 38 4.25434
17 53 1.04853
17 73 0.291532
17 145 0.10894
17 181 3.04195
17 199 2.45005
17 251 2.02758
17 277 2.328
17 291 4.10411
17 410 1.36874
17 521 1.35699
17 541 1.08245
17 560 0.352703
17 591 3.84802
17 594 0.550198
17 635 4.45483
17 662 3.78651
17 762 4.90279
17 782 3.17546
17 924 0.313615
17 926 3.52832
17 929 1.5617
17 1002 1.54049
17 1012 0.226721
17 1078 1.99823
17 1144 4.25347
17 1162 1.39535
17 1191 1.25813
17 1228 0.788127
17 1239 4.56558
17 1276 0.439551
17 1312 1.83157
17 1446 3.78591
17 1526 2.5682
17 1545 2.98992
17 1569 0.150963
17 1700 3.06249
17 1782 2.33572
17 1840 0.959286
17 1917 2.00572
17 1969 3.35651
17 1994 4.45949
18 106 3.06304
18 151 4.52664
18 205 3.59882
18 265 0.41262
18 285 2.47593
18 351 0.387905
18 363 1.61751
18 388 0.863938
18 603 0.379806
18 664 1.94667
18 781 0.542217
18 858 0.906053
18 866 3.11869
18 913 0.326981
18 947 0.803915
18 965 1.34113
18 975 0.743804
18 994 2.63408
18 1230 3.08623
18 1234 2.43709
18 1265 2.23272
18 1269 0.118477
18 1338 3.23059
18 1369 0.447874
18 1402 1.44451
18 1431 3.90996
18 1495 1.66124
18 1536 3.00358
18 1542 3.13998
18 1627 0.103057
18 1630 4.6668
18 1637 1.82466
18 1691 2.63028
18 1767 1.88318
18 1841 3.3851
18 1853 2.74377
18 1945 2.44926
18 1974 1.91216
19 201 0.180268
19 241 1.67875
19 269 3.89522
19 281 1.32841
19 296 4.73804
19 586 4.75105
19 588 1.99265
19 604 1.94508
19 662 3.62797
19 798 4.09485
19 855 1.27933
19 988 4.24031
19 1108 4.82739
19 1136 4.9039
19 1151 3.72207
19 1192 1.17487
19 1194 3.52274
19 1224 4.76051
19 1284 1.44256
19 1407 4.39214
19 1448 4.69487
19 1463 1.94946
19 1475 4.5094
19 1567 1.35907
19 1576 1.88643
19 1609 0.212937
19 1612 4.1024
19 1710 0.804714
19 1760 2.3426
19 1772 2.26412
19 1831 4.73737
19 1854 1.05238
19 1940 2.5255
19 1995 4.68285
20 36 1.00933
20 73 3.32482
20 130 3.66351
20 275 3.40944
20 290 0.258289
20 338 0.458629
20 354 0.950558
20 483 1.35258
20 513 3.07909
20 527 2.6726
20 552 3.42636
20 565 4.98495
20 573 3.09822
20 595 0.317054
20 649 0.75474
20 673 1.41759
20 750 0.594263
20 760 0.345701
20 845 4.96897
20 856 4.5648
20 865 3.11318
20 916 2.85006
20 970 0.547241
20 1052 2.17349
20 1089 1.86083
20 1172 0.982856
20 1284 4.53106
20 1290 4.08479
20 1358 1.77562
20 1380 1.83467
20 1472 3.91951
20 1507 0.326118
20 1513 0.2019
20 1547 3.27367
20 1568 0.303969
20 1579 0.817841
20 1604 3.88694
20 1615 2.56159
20 1683 3.24539
20 1711 0.477593
20 1719 0.179411
20 1737 1.96987
20 1803 1.97443
20 1805 2.73221
20 1830 0.684204
20 1843 3.64273
20 1877 3.29126
20 1878 4.50566
20 1991 4.14552
21 72 0.62882
21 117 2.35573
21 123 1.0053
21 183 4.72504
21 274 4.64271
21 310 4.46092
21 384 1.62127
21 395 1.47589
21 553 3.32919
21 560 4.00478
21 568 3.64069
21 597 3.61205
21 645 1.99411
21 646 2.82448
21 669 3.97347
21 737 0.260053
21 761 1.59365
21 892 0.364405
21 942 2.36318
21 954 2.73039
21 972 4.88875
21 1020 3.94573
21 1086 2.45007
21 1149 0.811603
21 1159 0.95419
21 1272 3.93695
21 1353 2.55422
21 1400 2.76206
21 1403 0.247756
21 1434 4.11447
21 1645 2.59102
21 1681 3.65663
21 1770 2.96475
21 1783 1.80069
21 1806 1.01292
21 1824 1.95009
21 1833 3.29092
21 1837 0.785144
21 1852 2.79186
21 1932 2.94042
21 1944 1.58908
21 1979 0.998946
22 193 2.04952
22 212 0.847647
22 260 2.03837
22 264 4.71552
22 403 4.22694
22 451 1.35901
22 462 1.7832
22 477 4.71898
22 499 4.47006
22 540 4.66111
22 556 2.12048
22 596 4.65541
22 602 0.655564
22 615 2.5403
22 651 3.72413
22 713 4.09572
22 769 4.52907
22 779 1.10974
22 983 0.240428
22 1014 2.50547
22 1044 3.68935
22 1116 1.61536
22 1269 4.80826
22 1296 4.32804
22 1304 1.76791
22 1318 4.36159
22 1351 0.230622
22 1391 1.48284
22 1476 3.42059
22 1531 3.44644
22 1539 3.52636
22 1574 4.7237
22 1650 1.98157
22 1663 1.36644
22 1681 4.91602
22 1729 3.96828
22 1935 2.14563
22 1952 3.62898
22 1978 4.18841
22 1980 2.04037
23 48 1.91253
23 214 3.67247
23 231 0.846943
23 286 3.73367
23 318 4.525
23 364 2.44008
23 443 2.41301
23 494 4.11662
23 545 1.33457
23 566 0.288874
23 579 1.88532
23 616 4.61959
23 732 4.80907
23 742 0.853899
23 817 3.74404
23 838 3.67996
23 849 2.29762
23 886 0.63459
23 908 3.77784
23 989 0.58482
23 1004 1.96746
23 1022 1.70678
23 1048 4.61214
23 1109 0.701252
23 1173 4.82926
23 1205 2.13391
23 1292 3.42735
23 1299 0.535919
23 1316 0.605995
23 1380 2.59512
23 1389 0.623607
23 1555 1.95089
23 1573 4.51943
23 1585 3.18724
23 1634 2.5365
23 1669 2.96138
23 1678 4.1986
23 1731 3.95401
23 1782 4.7179
24 47 2.77665
24 227 1.74902
24 281 4.06185
24 304 1.63705
24 414 2.00875
24 419 2.09486
24 448 3.76566
24 502 4.31164
24 599 0.895585
24 650 3.6189
24 652 0.793574
24 666 0.735607
24 681 4.6725
24 871 4.36393
24 909 0.809134
24 947 4.95023
24 1003 1.58907
24 1018 4.81916
24 1055 0.806769
24 1067 3.30406
24 1086 2.29078
24 1200 1.70214
24 1216 0.411301
24 1257 1.07689
24 1334 3.96236
24 1336 4.50319
24 1370 1.41507
24 1400 3.6338
24 1428 3.32796
24 1440 2.0302
24 1732 2.08149
24 1755 0.759662
24 1779 2.26315
24 1824 0.75104
24 1825 4.99735
24 1931 1.8079
24 1969 1.9193
25 28 4.60714
25 63 1.52365
25 88 3.8777
25 133 0.150126
25 159 2.98234
25 251 3.43269
25 259 3.07022
25 281 4.60945
25 333 4.18806
25 408 1.7824
25 512 4.47452
25 526 2.20808
25 570 4.33255
25 585 1.32282
25 622 4.00437
25 660 1.4212
25 747 3.75369
25 833 1.27858
25 864 2.68934
25 974 1.96605
25 979 1.13531
25 992 0.285465
25 1108 3.42413
25 1192 0.652711
25 1193 1.963
25 1213 4.54169
25 1239 2.94998
25 1248 4.36111
25 1281 4.14968
25 1300 1.94013
25 1378 2.1968
25 1489 2.16683
25 1552 2.52852
25 1587 4.96921
25 1648 0.113002
25 1678 2.04972
25 1682 4.01964
25 1703 2.63485
25 1726 0.36785
25 1752 1.81363
25 1844 4.83497
25 1891 4.1747
25 1919 0.848823
25 1953 0.614539
25 1959 3.99056
25 1973 1.69702
25 1974 1.52795
26 27 1.02487
26 135 2.70019
26 196 4.43873
26 321 4.71906
26 343 2.45392
26 370 0.144817
26 636 2.79844
26 676 1.27376
26 692 1.14502
26 708 3.58934
26 778 3.81664
26 841 0.278899
26 932 3.45557
26 985 0.20085
26 1010 2.53693
26 1032 4.59596
26 1088 3.50882
26 1100 1.0775
26 1205 1.47501
26 1214 4.31634
26 1236 0.568492
26 1309 4.3424
26 1634 1.7016
26 1643 3.14758
26 1657 0.738275
26 1715 0.892985
26 1780 2.45869
26 1845 4.84088
26 1960 0.272774
26 1980 0.711121
26 1992 2.78976
27 42 2.64125
27 44 1.96554
27 51 0.88141
27 185 3.92743
27 202 4.81909
27 214 0.35692
27 268 1.51365
27 326 3.76442
27 391 0.341061
27 432 4.39451
27 557 4.81991
27 573 0.154311
27 624 3.03384
27 892 0.289915
27 1016 4.23873
27 1073 2.28546
27 1129 4.79075
27 1133 1.84222
27 1166 2.77655
27 1278 2.29339
27 1301 1.69856
27 1307 3.08731
27 1319 2.36107
27 1366 1.56423
27 1372 1.55497
27 1385 1.98751
27 1404 3.81831
27 1409 2.78426
27 1458 4.31839
27 1513 1.05047
27 1533 4.58937
27 1547 4.71181
27 1571 3.93972
27 1581 4.56385
27 1633 1.27131
27 1725 4.003
27 1728 2.38836
27 1751 3.81203
27 1798 0.889293
27 1827 1.27183
27 1899 0.496243
27 1984 0.204857
28 56 1.44233
28 199 0.986068
28 214 1.61834
28 219 3.56015
28 293 3.69269
28 345 0.404262
28 471 3.67229
28 485 1.6097
28 535 3.04708
28 602 3.29648
28 622 1.24929
28 644 4.60073
28 671 3.60445
28 739 0.222304
28 750 4.43573
28 779 3.52783
28 864 2.13982
28 870 0.38282
28 878 4.55306
28 928 1.17038
28 1000 1.60128
28 1053 0.144653
28 1116 4.55973
28 1157 4.77846
28 1294 1.51184
28 1336 2.64384
28 1366 2.06472
28 1443 2.3912
28 1531 2.3251
28 1559 3.17052
28 1617 4.19268
28 1649 1.01335
28 1661 1.29355
28 1670 1.03549
28 1675 3.23756
28 1701 2.65232
28 1774 0.12703
28 1949 4.77958
28 1960 1.15195
29 35 2.97356
29 40 2.57915
29 60 0.988927
29 143 3.34073
29 156 2.47981
29 204 3.05377
29 235 0.777542
29 280 2.66338
29 301 4.82164
29 336 0.727942
29 358 4.33463
29 368 4.87467
29 447 4.28601
29 598 3.18217
29 655 0.891256
29 656 1.55596
29 713 1.73724
29 731 4.79774
29 749 3.7536
29 763 0.325714
29 892 2.01346
29 953 3.05231
29 979 4.90353
29 980 4.37099
29 1017 4.29548
29 1039 0.848525
29 1057 3.88105
29 1096 2.53345
29 1153 3.68807
29 1173 1.57345
29 1205 3.60593
29 1209 3.22561
29 1238 3.70741
29 1249 2.25325
29 1419 2.10377
29 1429 3.24147
29 1518 0.954942
29 1520 3.95913
29 1551 3.72233
29 1555 1.21982
29 1584 1.21008
29 1615 0.459633
29 1631 4.31369
29 1639 4.27265
29 1659 0.663005
29 1709 1.68183
29 1777 0.798301
29 1778 2.79876
29 1803 0.369753
29 1827 1.30071
29 1998 3.05286
30 50 2.61258
30 65 4.87736
30 76 2.04969
30 207 2.00796
30 389 1.16052
30 422 4.26201
30 473 3.54795
30 477 2.60575
30 512 2.90136
30 564 1.21991
30 595 4.36343
30 600 3.94785
30 659 2.40628
30 692 4.16675
30 710 2.65801
30 815 1.55154
30 969 1.80538
30 980 4.33822
30 993 4.64186
30 1167 2.49991
30 1303 1.29682
30 1362 0.80564
30 1390 4.21403
30 1543 1.29827
30 1556 2.07252
30 1640 4.95725
30 1660 4.02636
30 1668 3.21176
30 1824 4.02479
30 1921 4.75335
30 1988 0.647334
31 202 1.49936
31 207 3.38744
31 335 1.85307
31 374 3.21492
31 521 3.76222
31 645 3.18437
31 664 3.25208
31 787 4.06277
31 813 0.385951
31 992 0.121663
31 1013 2.7571
31 1017 1.21749
31 1144 2.65067
31 1187 3.7963
31 1264 0.33642
31 1414 2.4855
31 1447 0.608697
31 1468 2.95883
31 1501 2.8326
31 1673 1.84797
31 1696 0.103254
31 1699 0.471465
31 1738 3.10345
31 1757 2.96694
31 1846 0.430651
31 1888 2.27653
31 1929 0.54831
31 1951 3.51629
31 1960 4.52924
32 45 4.93534
32 84 3.72009
32 110 1.67795
32 116 4.32029
32 147 4.73773
32 149 2.13376
32 226 2.51498
32 242 3.78378
32 477 1.97032
32 559 1.42805
32 579 4.41349
32 626 2.78315
32 640 1.61902
32 697 3.43789
32 700 3.52784
32 702 4.88072
32 723 3.71237
32 741 4.68666
32 785 0.838279
32 813 1.10438
32 840 4.58266
32 841 3.09601
32 860 4.98264
32 1006 2.89534
32 1037 3.36764
32 1189 3.63787
32 1190 2.78847
32 1233 1.71263
32 1238 3.88173
32 1252 1.42203
32 1376 0.643778
32 1415 1.47012
32 1419 4.53979
32 1472 2.61945
32 1508 4.77712
32 1525 3.3188
32 1565 2.06913
32 1600 4.87608
32 1613 1.13571
32 1632 1.809
32 1651 4.64169
32 1669 4.28872
32 1729 1.60521
32 1731 2.40103
32 1833 4.80711
32 1889 3.60934
33 47 4.99166
33 57 1.60187
33 89 4.26071
33 174 3.06999
33 306 4.77846
33 343 0.993107
33 351 0.219913
33 492 0.527033
33 548 0.667875
33 730 4.30999
33 764 2.10686
33 784 2.89584
33 791 1.42661
33 814 0.359801
33 911 2.69343
33 1034 4.7172
33 1035 1.04316
33 1042 3.11877
33 1084 3.04478
33 1106 0.767211
33 1198 0.825632
33 1243 3.80049
33 1349 3.72192
33 1355 2.5395
33 1430 1.39387
33 1480 0.503712
33 1500 3.31056
33 1518 0.111479
33 1538 4.05717
33 1546 2.76968
33 1586 4.55628
33 1633 2.40809
33 1770 4.76855
33 1771 3.69531
33 1830 1.57409
33 1833 2.45474
33 1904 2.38083
33 1974 2.83163
34 134 2.69359
34 207 1.006
34 223 3.5119
34 305 1.64312
34 371 3.41554
34 409 2.10623
34 438 2.86163
34 487 2.25909
34 537 3.7936
34 547 3.03682
34 569 2.77252
34 615 1.25849
34 662 3.27721
34 683 0.511272
34 695 2.27231
34 787 1.58194
34 815 1.6345
34 819 1.97849
34 835 3.84375
34 874 0.293362
34 947 2.89418
34 979 0.540109
34 983 1.51263
34 1050 0.466032
34 1055 1.36669
34 1065 2.04676
34 1141 1.715
34 1168 1.92022
34 1234 3.43311
34 1307 4.56166
34 1391 0.796221
34 1437 0.463822
34 1514 0.623789
34 1564 2.56491
34 1572 1.84562
34 1618 4.7089
34 1628 4.29583
34 1686 3.41971
34 1830 4.758
34 1851 4.6456
34 1880 1.37584
34 1905 2.98365
34 1966 2.8952
34 1974 2.35126
35 51 1.23652
35 102 2.944
35 211 4.07858
35 218 2.8062
35 260 3.5367
35 261 2.21241
35 287 1.18047
35 290 1.92676
35 311 4.65172
35 317 0.786353
35 335 0.901751
35 397 4.12491
35 401 1.06489
35 554 3.88806
35 575 2.83466
35 622 1.87655
35 649 2.49767
35 671 2.35575
35 882 2.20167
35 934 3.59736
35 1000 0.637222
35 1029 0.618332
35 1033 2.01466
35 1096 1.26172
35 1148 3.56788
35 1194 2.57927
35 1292 2.9992
35 1299 2.45901
35 1345 0.723395
35 1346 4.89491
35 1573 1.69399
35 1626 1.8141
36 63 2.57052
36 120 2.30281
36 185 4.49386
36 249 4.40007
36 365 3.10841
36 375 0.130599
36 438 2.45085
36 511 2.85751
36 514 2.45874
36 516 2.33418
36 616 3.91708
36 618 1.31707
36 658 1.26519
36 737 3.1422
36 894 2.61176
36 1013 3.47369
36 1045 1.29608
36 1058 3.52651
36 1063 4.24901
36 1110 3.69143
36 1114 3.51887
36 1160 4.37211
36 1273 0.790857
36 1275 3.3905
36 1288 1.85115
36 1291 1.42558
36 1322 4.42548
36 1335 1.81982
36 1381 3.26751
36 1452 1.22705
36 1506 3.23155
36 1529 3.62802
36 1551 0.80628
36 1591 0.355733
36 1637 1.08726
36 1676 4.93567
36 1677 3.07903
36 1684 4.67844
36 1687 2.71934
36 1698 3.67212
36 1715 3.66686
36 1760 2.70391
36 1779 0.292117
36 1785 1.82184
36 1803 1.11108
36 1895 2.00948
36 1964 1.42621
36 1979 0.841152
37 38 2.65842
37 72 3.30867
37 215 1.83367
37 221 0.751284
37 362 1.11215
37 485 0.376237
37 683 2.76964
37 780 3.81879
37 788 4.2758
37 946 1.40834
37 949 0.761988
37 956 2.60248
37 965 4.70774
37 1041 4.85872
37 1113 0.541973
